state,x,y
Andhra Pradesh,-135.0,-245.0
Arunachal Pradesh,220.0,225.0
Assam,270.0,167.0
Bihar,43.0,117.0
Chhattisgarh,-25.0,-1.0
Goa,-270.0,-210.0
Gujarat,-345.0,34.0
Haryana,-191.0,245.0
Himachal Pradesh,-127.0,350.0
Jharkhand,56.0,72.0
Karnataka,-239.0,-218.0
Kerala,-188.0,-355.0
Madhya Pradesh,-152.0,24.0
Maharashtra,-256.0,-71.0
Manipur,335.0,115.0
Meghalaya,245.0,136.0
Mizoram,307.0,75.0
Nagaland,330.0,163.0
Odisha,84.0,-37.0
Punjab,-223.0,319.0
Rajasthan,-343.0,172.0
Sikkim,173.0,199.0
Tamil Nadu,-123.0,-345.0
Telangana,-129.0,-117.0
Tripura,274.0,77.0
Uttar Pradesh,-67.0,138.0
Uttarakhand,-103.0,288.0
West Bengal,147.0,53.0
